"CO2 emisija, g/km",Color,Body type,Price,Catalytic converter,Tinted windows,First registration,Driven wheels,Fuel type,LED headlights,ESP,Fog lights,Number of seats,Mileage,Gearbox,Alarm,Electric mirrors,Heated mirrors,Lane Departure Warning,Fuel consuption Urban l/100 km,Boot cover,Start-Stop system,Tow hook,LED daytime running lights,Immobilizer,Hill-start assist control,Multifunctional steering wheel,Adaptive Cruise Control,Automatic headlamps,LCD monitor,MP3 player,Road sign recognition,Dimming mirror,AUX input,URL,ISOFIX mounts,Fuel consuption combined l/100 km,Rainfall sensor,Traction control system,Rear view camera,Cruise control,First registration country,Electric seats,Fuel consuption out-of-city l/100 km,Make,Model,Engine Power KW,Engine size in Cm3,car_id
125,Red / crimson,Wagon,100,0,0,2008,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/peugeot-308-1-6-l-wagon-2008-diesel-27131051.html,0,0,0,0,0,0,0,0,0,Peugeot,308,66.0,Low,0
146,Blue,MPV / minivan,140,0,0,2008,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/peugeot-partner-1-6-l-mpv-minivan-2008-diesel-27077049.html,0,0,0,0,0,0,0,0,0,Peugeot,Partner,66.0,Low,1
163,Gray / silver,Hatchback,200,0,0,1999,Front wheel drive (FWD),Petrol,0,0,0,5,222222,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a3-hatchback-1999-petrol-27225555.html,0,0,0,0,0,0,0,0,0,Audi,A3,116.0,Low,2
152,Red / crimson,Hatchback,250,0,0,1996,Front wheel drive (FWD),Petrol,0,0,0,5,140000,Automatic,0,0,0,0,"7,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/nissan-micra-1-0-l-hatchback-1996-petrol-26946103.html,0,"6,1",0,0,0,0,0,0,52,Nissan,Micra,40.0,Very Low,3
100,White,Hatchback,300,0,0,1994,Front wheel drive (FWD),Diesel,0,0,0,5,290000,Manual,0,0,0,0,"5,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-polo-1-4-l-hatchback-1994-diesel-27108037.html,0,"5,9",0,0,0,0,Germany,0,41,Volkswagen,Polo,35.0,Very Low,4
119,Black,Hatchback,333,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,222333,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-polo-1-4-l-hatchback-2002-diesel-27216041.html,0,"4,5",0,0,0,0,0,0,39,Volkswagen,Polo,55.0,Very Low,5
0,Gray / silver,Hatchback,350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,295000,Automatic,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-golf-1-9-l-hatchback-2000-diesel-27185639.html,0,"4,9",0,0,0,0,0,0,48,Volkswagen,Golf,66.0,Low,6
0,Gray / silver,Hatchback,350,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,295000,Automatic,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-golf-1-9-l-hatchback-2000-diesel-27185639.html,0,"4,9",0,0,0,0,0,0,48,Volkswagen,Golf,66.0,Low,7
142,Black,Wagon,430,0,0,2004,Front wheel drive (FWD),Diesel,0,0,0,5,324625,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-v40-1-9-l-wagon-2004-diesel-27189625.html,0,"6,3",0,0,0,0,0,0,0,Volvo,V40,75.0,Very Low,8
179,Gray / silver,Wagon,440,1,1,2001,Front wheel drive (FWD),Diesel,0,1,1,5,245000,Manual,1,1,1,0,8,1,0,1,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,1,1,0,1,Germany,1,0,Audi,A6,110.0,Very Low,9
